"Type of being","Name","Episodes"
"Demons, Half-Demons and Old Ones","Acathla","Becoming, Part Two"
"Demons, Half-Demons and Old Ones","Ano-Movic Demons: The Straleys","Bachelor Party"
"Demons, Half-Demons and Old Ones","Anyanka",""
"Demons, Half-Demons and Old Ones","Arney","Offspring, Lullaby"
"Demons, Half-Demons and Old Ones","Artode","Life of the Party"
"Demons, Half-Demons and Old Ones","Assassin demon","Sanctuary"
"Demons, Half-Demons and Old Ones","Avilas","Help"
"Demons, Half-Demons and Old Ones","Baker","The Ring"
"Demons, Half-Demons and Old Ones","Balthazar","Bad Girls"
"Demons, Half-Demons and Old Ones","Barney the Empath Demon","Parting Gifts"
"Demons, Half-Demons and Old Ones","The Beast",""
"Demons, Half-Demons and Old Ones","Billy Blim","That Vision Thing, Billy"
"Demons, Half-Demons and Old Ones","Bohg'Dar Demon","Salvage"
"Demons, Half-Demons and Old Ones","Boone","Blood Money"
"Demons, Half-Demons and Old Ones","Boretz Demon","Power Play"
"Demons, Half-Demons and Old Ones","Brachen Demons","Hero"
"Demons, Half-Demons and Old Ones","Bringers",""
"Demons, Half-Demons and Old Ones","Bro'os the Loan-Shark demon","Teeth, Tabula Rasa"
"Demons, Half-Demons and Old Ones","Brotherhood of Seven: Marc","The Puppet Show"
"Demons, Half-Demons and Old Ones","Cantonese Fook-Beast","That Vision Thing"
"Demons, Half-Demons and Old Ones","Carlos","Underneath"
"Demons, Half-Demons and Old Ones","Carnyss Demon","Judgment"
"Demons, Half-Demons and Old Ones","Chaos Demon","Fool for Love"
"Demons, Half-Demons and Old Ones","Champion Knight","Judgment"
"Demons, Half-Demons and Old Ones","Clem",""
"Demons, Half-Demons and Old Ones","Codger Demon","Hearthrob"
"Demons, Half-Demons and Old Ones","Connor",""
"Demons, Half-Demons and Old Ones","Cordelia Chase (Never used powers for evil)",""
"Demons, Half-Demons and Old Ones","Coventant of Trombli: Silas, Barshon",""
"Demons, Half-Demons and Old Ones","Cyvus Vail",""
"Demons, Half-Demons and Old Ones","Deevak","First Impressions"
"Demons, Half-Demons and Old Ones","Der Kindestod","Killed by Death"
"Demons, Half-Demons and Old Ones","Devlin","Life of the Party"
"Demons, Half-Demons and Old Ones","D'Hoffryn",""
"Demons, Half-Demons and Old Ones","D'Hoffryn's acolytes in Arashmahaar","Something Blue"
"Demons, Half-Demons and Old Ones","D'Korr (D'Hoffryn's second demon hitman)","Get It Done"
"Demons, Half-Demons and Old Ones","Doc",""
"Demons, Half-Demons and Old Ones","Doyle",""
"Demons, Half-Demons and Old Ones","Drokken Beast","Belonging"
"Demons, Half-Demons and Old Ones","Drug Lord Demon","The Prodigal"
"Demons, Half-Demons and Old Ones","Durslar Beast","Fredless"
