"Type of being","Name","Episodes"
"Demons, Half-Demons and Old Ones","Durthok the Child-Eater","Judgment"
"Demons, Half-Demons and Old Ones","Eater Demon","Slouching Toward Bethlehem"
"Demons, Half-Demons and Old Ones","Eli","Harm's Way"
"Demons, Half-Demons and Old Ones","Eyghon the Sleepwalker","The Dark Age"
"Demons, Half-Demons and Old Ones","Ethros Demon","I've Got You Under My Skin"
"Demons, Half-Demons and Old Ones","Fell Brethren",""
"Demons, Half-Demons and Old Ones","Flanjoid Demon","To Shanshu in L.A."
"Demons, Half-Demons and Old Ones","Fungus Demon","The Harsh Light of Day"
"Demons, Half-Demons and Old Ones","Dr. Fetvanovich","Quickening"
"Demons, Half-Demons and Old Ones","Francis","Release"
"Demons, Half-Demons and Old Ones","Frocter Demon","Release"
"Demons, Half-Demons and Old Ones","Sid & Monica Frzylcka","Double or Nothing"
"Demons, Half-Demons and Old Ones","Fyarl Demon","A New Man"
"Demons, Half-Demons and Old Ones","Gachnar","Fear, Itself"
"Demons, Half-Demons and Old Ones","Garwak Demon","Provider"
"Demons, Half-Demons and Old Ones","Gathwok Demons: Vakma, Trensiduf","Over the Rainbow"
"Demons, Half-Demons and Old Ones","Gavrok Spiders","Choices"
"Demons, Half-Demons and Old Ones","The Gentlemen and their Silent Footmen","Hush"
"Demons, Half-Demons and Old Ones","Ghora Demon","Forever"
"Demons, Half-Demons and Old Ones","Glarghk Guhl Kashma'nik Demon","Normal Again"
"Demons, Half-Demons and Old Ones","Glory's Minions: Jinx, Dreg, Murk, Slook, Gronx and the High Priest Minion",""
"Demons, Half-Demons and Old Ones","Glurgg","Apocalypse, Nowish"
"Demons, Half-Demons and Old Ones","Gnarl","Same Time, Same Place"
"Demons, Half-Demons and Old Ones","Goran Demons","The Girl in Question"
"Demons, Half-Demons and Old Ones","Granok Demons","Forgiving"
"Demons, Half-Demons and Old Ones","Grappler Demons","Quickening"
"Demons, Half-Demons and Old Ones","Grimslaw Demon","Selfless"
"Demons, Half-Demons and Old Ones","The Groosalugg",""
"Demons, Half-Demons and Old Ones","Grox'lar Beast","Just Rewards"
"Demons, Half-Demons and Old Ones","Hainsley Demon","Just Rewards"
"Demons, Half-Demons and Old Ones","Haklar Demon","Belonging"
"Demons, Half-Demons and Old Ones","Halfrek",""
"Demons, Half-Demons and Old Ones","Hans and Gretta Straus","Gingerbread"
"Demons, Half-Demons and Old Ones","Haxil Beast","Expecting"
"Demons, Half-Demons and Old Ones","Senator Helen Brucker",""
"Demons, Half-Demons and Old Ones","Hellhound","The Prom"
"Demons, Half-Demons and Old Ones","The Hellions: Razor, Mag, Klyed","Bargaining, Part One & Two"
"Demons, Half-Demons and Old Ones","Hellmouth Spawn","Prophecy Girl, The Zeppo"
"Demons, Half-Demons and Old Ones","Hindu Kush","Judgment"
"Demons, Half-Demons and Old Ones","Howler Demons","The Ring"
"Demons, Half-Demons and Old Ones","Intestine demon","Lonely Hearts"
"Demons, Half-Demons and Old Ones","Illyria",""
"Demons, Half-Demons and Old Ones","Izzerial the Devil",""
"Demons, Half-Demons and Old Ones","Jenoff the Soul-Sucker","Double or Nothing"
"Demons, Half-Demons and Old Ones","Jenoff's Repo-Man","Double or Nothing"
"Demons, Half-Demons and Old Ones","Princess Jheira and the Oden-Tal females","She"
"Demons, Half-Demons and Old Ones","The Judge",""
"Demons, Half-Demons and Old Ones","Kailiff demon/Griff","Rm w/a Vu"
"Demons, Half-Demons and Old Ones","Kamal the Prio-Motu Demon","Judgment"
"Demons, Half-Demons and Old Ones","Karathmamanyugh Demon","Spin the Bottle"
"Demons, Half-Demons and Old Ones","Kathy Newman/Mok'tagar demon","Living Conditions"
"Demons, Half-Demons and Old Ones","Ken and the demon enslavers","Anne"
"Demons, Half-Demons and Old Ones","Kek Demon","I've Got You Under My Skin"
"Demons, Half-Demons and Old Ones","Kith'Harn Demons","Origin"
"Demons, Half-Demons and Old Ones","Kleynach Demon","Reprise"
"Demons, Half-Demons and Old Ones","Kovitch Demon","She"
"Demons, Half-Demons and Old Ones","Kulak of the Miquot Clan","Homecoming"
"Demons, Half-Demons and Old Ones","Kungai Demon","Parting Gifts"
"Demons, Half-Demons and Old Ones","Kurskov's minions","Waiting in the Wings"
"Demons, Half-Demons and Old Ones","Lachnie Hag","Benediction"
"Demons, Half-Demons and Old Ones","Lagos","Revelations"
"Demons, Half-Demons and Old Ones","Lasovic","The Ring"
"Demons, Half-Demons and Old Ones","Lei-Ach Demons","Family"
"Demons, Half-Demons and Old Ones","Lilliad Demons","Dad"
"Demons, Half-Demons and Old Ones","Lissa","First Date"
"Demons, Half-Demons and Old Ones","Liz","Judgment"
"Demons, Half-Demons and Old Ones","Lister Demons","Hero"
"Demons, Half-Demons and Old Ones","Lorne's Id Monster","Life of the Party"
"Demons, Half-Demons and Old Ones","Lubber Demons","Happy Anniversary"
"Demons, Half-Demons and Old Ones","Lurconis","Band Candy"
"Demons, Half-Demons and Old Ones","Lurite Demon","Hearthrob"
"Demons, Half-Demons and Old Ones","Machida","Reptile Boy"
"Demons, Half-Demons and Old Ones","Madam Dorian and her Girls (Lina)","War Zone"
"Demons, Half-Demons and Old Ones","Mandraz","Wrecked"
"Demons, Half-Demons and Old Ones","M'Fashnik Demon","Flooded"
"Demons, Half-Demons and Old Ones","Mayor Wilkins aka Olvikan",""
"Demons, Half-Demons and Old Ones","Mellish","The Ring"
"Demons, Half-Demons and Old Ones","Merl",""
"Demons, Half-Demons and Old Ones","M. James Menlo","The Shroud of Rahmon"
"Demons, Half-Demons and Old Ones","Mofo Demon (Lenny Edward's demon muscle)","War Zone"
"Demons, Half-Demons and Old Ones","Mohra Demon","I Will Remember You"
"Demons, Half-Demons and Old Ones","Moloch the Corruptor","I, Robot... You, Jane"
"Demons, Half-Demons and Old Ones","Mordar the Bentback","Judgment"
"Demons, Half-Demons and Old Ones","Mucus Demon","Double or Nothing"
"Demons, Half-Demons and Old Ones","Multi-headed demon","Supersymmetry"
"Demons, Half-Demons and Old Ones","Mutite Demon","Hearthrob"
"Demons, Half-Demons and Old Ones","Nahdrah Demons","Provider"
"Demons, Half-Demons and Old Ones","Nezzla Demons","Judgment"
"Demons, Half-Demons and Old Ones","Norman Pfister","What's My Line, Part One/Part Two"
"Demons, Half-Demons and Old Ones","Nurbatch Demon","That Old Gang of Mine"
"Demons, Half-Demons and Old Ones","Octarus","What's My Line, Part Two"
"Demons, Half-Demons and Old Ones","Olvikan","Graduation Day, Part Two"
"Demons, Half-Demons and Old Ones","Ovu Mobani","Dead Man's Party"
"Demons, Half-Demons and Old Ones","Piasca demon","Lonely Hearts"
"Demons, Half-Demons and Old Ones","Pockla Demon","Dead End"
"Demons, Half-Demons and Old Ones","Polgara Demons","The I in Team"
"Demons, Half-Demons and Old Ones","Prechian Demon","The Thin Dead Line"
"Demons, Half-Demons and Old Ones","Preggothian Demon","Blind Date"
"Demons, Half-Demons and Old Ones","Pyleans: Lorne, Constable Narwek, Landok, Numfar, Blix, Lorne's Mother (Deathwok clan), Pylean Royal Guard: The Captain of the Guard",""
"Demons, Half-Demons and Old Ones","Queller Demon","Listening to Fear"
"Demons, Half-Demons and Old Ones","Quor-Toth Demon","The Price"
"Demons, Half-Demons and Old Ones","Rahmon","The Shroud of Rahmon"
"Demons, Half-Demons and Old Ones","Reptilian Demon","Parting Gifts"
"Demons, Half-Demons and Old Ones","Rodentius Demon","Fredless"
"Demons, Half-Demons and Old Ones","Rwasundi Demons","Dead Things"
"Demons, Half-Demons and Old Ones","Sahjhan",""
"Demons, Half-Demons and Old Ones","Sahrvin Demons",""
"Demons, Half-Demons and Old Ones","Sathari","Power Play"
"Demons, Half-Demons and Old Ones","Archduke Sebassis",""
"Demons, Half-Demons and Old Ones","Sebassis' Slave/Pee-Pee Demon",""
"Demons, Half-Demons and Old Ones","Senih'D Demon","Couplet"
"Demons, Half-Demons and Old Ones","The Scourge: Trask, Tiernan","Hero"
"Demons, Half-Demons and Old Ones","The Senior Partners of Wolfram & Hart",""
"Demons, Half-Demons and Old Ones","Serparvo Demon","Something Blue"
"Demons, Half-Demons and Old Ones","Shorshack Demon","I've Got You Under My Skin"
"Demons, Half-Demons and Old Ones","Sloth Demon","Judgment"
"Demons, Half-Demons and Old Ones","Sorialus the Ravager","Waiting in the Wings"
"Demons, Half-Demons and Old Ones","Shur-Hod Demons","Heartthrob"
"Demons, Half-Demons and Old Ones","Sisterhood of Jhe","The Zeppo"
"Demons, Half-Demons and Old Ones","Skench Demon","Double or Nothing"
"Demons, Half-Demons and Old Ones","Skilosh Demons","Epiphany"
"Demons, Half-Demons and Old Ones","Skip",""
"Demons, Half-Demons and Old Ones","Skyler","Enemies"
"Demons, Half-Demons and Old Ones","Slime Demon","The Wish, To Shanshu in L.A."
"Demons, Half-Demons and Old Ones","Dr. Gregson the Slod Demon","Heartthrob"
"Demons, Half-Demons and Old Ones","Sluggoth Demon","Beneath You"
"Demons, Half-Demons and Old Ones","Smile Time Puppet-Demons: Polo, Ratio Hornblower, Grrl, Rufus","Smile Time"
"Demons, Half-Demons and Old Ones","Soul-Eater","Calvary"
"Demons, Half-Demons and Old Ones","Stewart Burns","Hell's Bells"
"Demons, Half-Demons and Old Ones","Strom Demon","Release"
"Demons, Half-Demons and Old Ones","Suvolte Demon","As You Were"
"Demons, Half-Demons and Old Ones","Sweet","Once More, With Feeling"
"Demons, Half-Demons and Old Ones","Sweet's Lackeys","Once More, With Feeling"
"Demons, Half-Demons and Old Ones","Tarval Demon","Expecting"
"Demons, Half-Demons and Old Ones","Talamour/Burrower","Lonely Hearts"
"Demons, Half-Demons and Old Ones","Taparrich and the Mok'tagar demons","Living Conditions"
"Demons, Half-Demons and Old Ones","Tezcatcatl","The Cautionary Tale of Numero Cinco"
"Demons, Half-Demons and Old Ones","The Thaumogenic Demon","After Life"
"Demons, Half-Demons and Old Ones","The Beast of Amalfi","To Shanshu in L.A., Birthday"
"Demons, Half-Demons and Old Ones","Thesulac Demon","Are You Now or Have You Ever Been"
"Demons, Half-Demons and Old Ones","Thraxis","Life of the Party"
"Demons, Half-Demons and Old Ones","Tien Shenin","Judgment"
"Demons, Half-Demons and Old Ones","Tom Cribb","The Ring"
"Demons, Half-Demons and Old Ones","Tor","The Trial"
"Demons, Half-Demons and Old Ones","Torto Demon","Happy Anniversary"
"Demons, Half-Demons and Old Ones","Torg","Showtime"
"Demons, Half-Demons and Old Ones","Toth","The Replacement"
"Demons, Half-Demons and Old Ones","Tough Guy Demon","That Old Gang of Mine"
"Demons, Half-Demons and Old Ones","Tree Demon","Couplet"
"Demons, Half-Demons and Old Ones","Turfog the Thrall Demon","Dear Boy"
"Demons, Half-Demons and Old Ones","Vahrall Demons","Doomed"
"Demons, Half-Demons and Old Ones","Vajnu Demon","The Shroud of Rahmon"
"Demons, Half-Demons and Old Ones","Val Trepkos","The Ring"
"Demons, Half-Demons and Old Ones","Vampire Detector Demons","Blind Date"
"Demons, Half-Demons and Old Ones","Vartite Monster","Judgment"
"Demons, Half-Demons and Old Ones","Vigaries","She"
"Demons, Half-Demons and Old Ones","Vinji Demons","Harm's Way"
"Demons, Half-Demons and Old Ones","Vocah, Warrior of the Underworld, Bringer of Calamity","To Shanshu in L.A."
"Demons, Half-Demons and Old Ones","Voynok Demon","Supersymmetry"
"Demons, Half-Demons and Old Ones","Vyasa","The Shroud of Rahmon"
"Demons, Half-Demons and Old Ones","Wan-Shang Dhole","That Vision Thing"
"Demons, Half-Demons and Old Ones","Wainakay Demon","Happy Anniversary"
"Demons, Half-Demons and Old Ones","Wolfram & Hart Failsafe Technician Demon","You're Welcome"
"Demons, Half-Demons and Old Ones","Wolfram & Hart Torturer Demon","Underneath"
"Demons, Half-Demons and Old Ones","Wraithers","Loyalty"
"Demons, Half-Demons and Old Ones","Whistler",""
"Demons, Half-Demons and Old Ones","Yeska the Davric Demon","Guise Will Be Guise"
"Demons, Half-Demons and Old Ones","The Zealots of the Devourer: The High Priest Zealot, the Keeper of the Name","Sacrifice, Peace Out"
"Vampires","Absalom","When She Was Bad"
"Vampires","Alonna Gunn",""
"Vampires","Alphonse","Doppelgangland"
"Vampires","Andrew Borba","Never Kill a Boy on the First Date"
"Vampires","Andrew Hoelich","Anne"
"Vampires","Angel/Angelus",""
"Vampires","Anne - Spike's mother","Lies My Parents Told Me"
"Vampires","Aurelius (Vampire prophet who prophesied the coming of the Anointed One)",""
"Vampires","Big Ugly",""
"Vampires","Billy Fordham","Lie to Me"
"Vampires","Blair","Helpless"
"Vampires","Boone","Who Are You"
"Vampires","Charlotte","Sleeper"
"Vampires","Charles Gunn","After the Fall"
"Vampires","Collin, the Anointed One",""
"Vampires","Dalton",""
"Vampires","Darla",""
"Vampires","Doug Sanders",""
"Vampires","Dracula","Buffy vs. Dracula"
"Vampires","Drusilla",""
"Vampires","El Eliminati","Bad Girls"
"Vampires","Elisabeth",""
"Vampires","The Gorch family: Lyle, Tector, and Candy","Bad Eggs, Homecoming"
"Vampires","James",""
"Vampires","Jamie","Pangs"
"Vampires","Jay-Don","The Shroud of Rahmon"
"Vampires","Jeff & Mutt","Crush"
"Vampires","Jesse McNally",""
"Vampires","Julia","Lie to Me"
"Vampires","Harmony Kendall",""
"Vampires","Holden Webster","Conversations with Dead People"
"Vampires","Kakistos","Faith, Hope & Trick"
"Vampires","Stephen Korshak","Some Assembly Required"
"Vampires","Lean Boy",""
"Vampires","Lenny","Lovers Walk"
"Vampires","Luke",""
"Vampires","Marcus","In the Dark"
"Vampires","The Master",""
"Vampires","Nightmare Buffy","Nightmares (Buffy episode)"
"Vampires","Nostroyev","Why We Fight"
"Vampires","Prince of Lies","Why We Fight"
"Vampires","Rebel Vampire Posse: Carl, Justin, Zack, Glenn, Christy, Marla and other vamps","All the Way"
"Vampires","Richard","Lies My Parents Told Me"
"Vampires","Russel Winters","City of"
"Vampires","Mr. Sanderson","Gingerbread"
"Vampires","Sandy","Doppelgangland, Family, Shadow"
"Vampires","Sam Lawson","Why We Fight"
"Vampires","Sarah Holtz",""
"Vampires","Spike",""
"Vampires","Sunday and her gang: Dav, Rookie, Tom, Jerry and Eddie","The Freshman"
"Vampires","Thomas","Welcome to the Hellmouth"
"Vampires","The Prince Of Lies","Why We Fight"
"Vampires","The Three","Angel"
"Vampires","The Three Sisters","Buffy vs. Dracula"
"Vampires","Tom","The Harsh Light Of Day"
"Vampires","Mr. Trick",""
"Vampires","Turok-Han vampires",""
"Vampires","Ul'thar Vampires",""
"Vampires","Whip and the Hooker Vamps","Into the Woods"
"Vampires","Willow Rosenberg",""
"Vampires","Wishverse Willow","The Wish, Doppelgangland"
"Vampires","Wishverse Xander","The Wish"
"Vampires","Xander Harris",""
"Vampires","Zachary Kralik","Helpless"
"Wizards, Witches, Sorcerers and Other Magic Users","Madam Anita","Couplet"
"Wizards, Witches, Sorcerers and Other Magic Users","Captain Atkinson","The Thin Dead Line"
"Wizards, Witches, Sorcerers and Other Magic Users","Magnus Bryce","Guise Will Be Guise"
"Wizards, Witches, Sorcerers and Other Magic Users","Helen Bointon","Happy Anniversary"
"Wizards, Witches, Sorcerers and Other Magic Users","Jenny Calendar",""
"Wizards, Witches, Sorcerers and Other Magic Users","Cordelia Chase (through the former power Jasmine)","Orpheus, Inside Out"
"Wizards, Witches, Sorcerers and Other Magic Users","Command Central witches","The Long Way Home onwards"
"Wizards, Witches, Sorcerers and Other Magic Users","Michael Czajak","Gingerbread"
"Wizards, Witches, Sorcerers and Other Magic Users","The Order of Dagon","No Place Like Home"
"Wizards, Witches, Sorcerers and Other Magic Users","The Devonshire Coven","Grave, Lessons"
"Wizards, Witches, Sorcerers and Other Magic Users","Rupert Giles",""
"Wizards, Witches, Sorcerers and Other Magic Users","Magnus Hainsley","Just Rewards"
"Wizards, Witches, Sorcerers and Other Magic Users","Clan Kalderash: Enyos Kalderash, Magda Kalderash (The Elder Woman)",""
"Wizards, Witches, Sorcerers and Other Magic Users","Kumiko","Wolves at the Gate, Parts 1-4"
"Wizards, Witches, Sorcerers and Other Magic Users","Count Kurskov","Waiting in the Wings"
"Wizards, Witches, Sorcerers and Other Magic Users","Paul Lanier","Guise Will Be Guise"
"Wizards, Witches, Sorcerers and Other Magic Users","Jonathan Levinson",""
"Wizards, Witches, Sorcerers and Other Magic Users","Allen Lloyd","Sense & Sensitivity"
"Wizards, Witches, Sorcerers and Other Magic Users","Mistress Meerna","A New World"
"Wizards, Witches, Sorcerers and Other Magic Users","Tara Maclay",""
"Wizards, Witches, Sorcerers and Other Magic Users","Catherine Madison","Witch"
"Wizards, Witches, Sorcerers and Other Magic Users","Amy Madison","Witch"
"Wizards, Witches, Sorcerers and Other Magic Users","Gwendolyn Post","Revelations"
"Wizards, Witches, Sorcerers and Other Magic Users","Rack","Wrecked, Seeing Red, Two to Go"
"Wizards, Witches, Sorcerers and Other Magic Users","Roden","No Future For You, Parts 1-4"
"Wizards, Witches, Sorcerers and Other Magic Users","Ethan Rayne",""
"Wizards, Witches, Sorcerers and Other Magic Users","Marcus Roscoe","Carpe Noctem"
"Wizards, Witches, Sorcerers and Other Magic Users","Willow Rosenberg",""
"Wizards, Witches, Sorcerers and Other Magic Users","Professor Oliver Seidel","Supersymmetry"
"Wizards, Witches, Sorcerers and Other Magic Users","The Shadow-Men","Get It Done"
"Wizards, Witches, Sorcerers and Other Magic Users","Spanky","Conviction"
"Wizards, Witches, Sorcerers and Other Magic Users","Svear Priestesses","Soulless"
"Wizards, Witches, Sorcerers and Other Magic Users","Thelonious","I, Robot... You, Jane"
"Wizards, Witches, Sorcerers and Other Magic Users","Vaughne and the UC Sunnydale Wiccan Group","The Killer in Me"
"Wizards, Witches, Sorcerers and Other Magic Users","Andrew Wells",""
"Wizards, Witches, Sorcerers and Other Magic Users","Wo-Pang of the Kung Sun Dai","Awakening"
"Wizards, Witches, Sorcerers and Other Magic Users","Wesley Wyndam-Pryce",""
"Wizards, Witches, Sorcerers and Other Magic Users","Lucien Drake","Soul Purpose"
"Enhanced humans","Brain Man","That Vision Thing"
"Enhanced humans","Vanessa Brewer","Blind Date"
"Enhanced humans","Caleb",""
"Enhanced humans","Bethany Chaulk","Untouched"
"Enhanced humans","Command Central psychics and seers","The Long Way Home onwards"
"Enhanced humans","Connor",""
"Enhanced humans","The Holy Triumvirate (The Three Blind Seer Children)","Blind Date"
"Enhanced humans","Mayor Richard Wilkins III",""
"Enhanced humans","Ronald Meltzer","I Fall to Pieces"
"Enhanced humans","Cassie Newton","Help"
"Enhanced humans","Gwen Raiden",""
"Enhanced humans","Marcie Ross and other Invisible Students","Out of Mind, Out of Sight"
"Enhanced humans","Slayers",""
"Enhanced humans","Wolfram & Hart's Psychics","Blind Date, Quickening, Hellbound"
"Enhanced humans","Wolfram & Hart's Telekinetic Ninja Assassin","Quickening"
"Dangerous Mortals","Hunt Acrey","Redefinition"
"Dangerous Mortals","Richard Anderson","Reptile Boy"
"Dangerous Mortals","Ryan Anderson","I've Got You Under My Skin"
"Dangerous Mortals","Dr. Francis Angleman",""
"Dangerous Mortals","Benny, Mr. Bryce's bodyguard","Guise Will Be Guise"
"Dangerous Mortals","Ilona Costa Bianchi","The Girl in Question"
"Dangerous Mortals","The Biker Gang","Dad"
"Dangerous Mortals","Billy's Kiddy League Coach","Nightmares"
"Dangerous Mortals","Congressman Nathan Blim","Billy"
"Dangerous Mortals","Brittany","Harm's Way"
"Dangerous Mortals","Gib Cain","Phases"
"Dangerous Mortals","Charlotte","Harm's Way"
"Dangerous Mortals","Mr. Chaulk","Untouched"
"Dangerous Mortals","Wilson Christopher and the Haxil's Cult Guys","Expecting"
"Dangerous Mortals","Jacob Crane","Unleashed"
"Dangerous Mortals","Cyril, W&H's mailboy","Quickening"
"Dangerous Mortals","Danny","Harm's Way"
"Dangerous Mortals","Debbie","Salvage"
"Dangerous Mortals","Lee DeMarco","The House Always Wins"
"Dangerous Mortals","Dick the Pimp","Five by Five"
"Dangerous Mortals","Lenny Edwards","War Zone"
"Dangerous Mortals","Elliot","Ground State"
"Dangerous Mortals","Emil the Arms Dealer","Lineage"
"Dangerous Mortals","Eric","Some Assembly Required"
"Dangerous Mortals","Bret Folger","Five by Five"
"Dangerous Mortals","Billy Fordham","Lie to Me"
"Dangerous Mortals","Frawley","Homecoming"
"Dangerous Mortals","Corbin Fries","Conviction"
"Dangerous Mortals","Jack the Barkeeper","Beer Bad"
"Dangerous Mortals","Jackson the Drug Dealer","The Thin Dead Line"
"Dangerous Mortals","Frederick & Hans Gruenstalher and the Old Man","Homecoming"
"Dangerous Mortals","Gunn's ex-crew: Rondell, Gio","That Old Gang of Mine"
"Dangerous Mortals","Hank","Parting Gifts"
"Dangerous Mortals","Fritz Heinrich, SS Officer","Why We Fight"
"Dangerous Mortals","Henry, Deevak's human henchman","First Impressions"
"Dangerous Mortals","Captain Daniel Holtz",""
"Dangerous Mortals","Holtz's Angel-Hunters: Justine Cooper, Aubrey Jenkins",""
"Dangerous Mortals","Desmond Keel","Conviction"
"Dangerous Mortals","Knights of Byzantium: General Gregor, Orlando, Dante","Checkpoint, Blood Ties, Spiral"
"Dangerous Mortals","Knox",""
"Dangerous Mortals","Irv Kraigle","Dead End"
"Dangerous Mortals","The Lunch Lady","Earshot"
"Dangerous Mortals","Rebecca Lowell","Eternity"
"Dangerous Mortals","Mac","Parting Gifts"
"Dangerous Mortals","Lindsey MacDonald",""
"Dangerous Mortals","The Maclay Family: Mr. Maclay, Donny and Beth","Family"
"Dangerous Mortals","MacNamara Brothers: Darin and Jack","The Ring"
"Dangerous Mortals","Coach Carl Marin","Go Fish"
"Dangerous Mortals","Colonel McNamara",""
"Dangerous Mortals","Warren Mears",""
"Dangerous Mortals","Lee Mercer",""
"Dangerous Mortals","Dr. Michaels of Fairfield Clinic","Dead End"
"Dangerous Mortals","Lilah Morgan",""
"Dangerous Mortals","Takeshi Morimoto","Players"
"Dangerous Mortals","Bob Munroe, Sunnydale Chief of Police",""
"Dangerous Mortals","Linwood Murrow",""
"Dangerous Mortals","Novac","Just Rewards"
"Dangerous Mortals","Gavin Park",""
"Dangerous Mortals","Patrice of the Order of Teraka","What's My Line, Part Two"
"Dangerous Mortals","Preston","Home"
"Dangerous Mortals","Ramone, Lanier's mole in Caritas","Guise Will Be Guise"
"Dangerous Mortals","Nathan Reed","Dead End"
"Dangerous Mortals","Monsigneur Rivali & the Inquisitore","Offspring"
"Dangerous Mortals","Dr. Evan Royce","Unleashed"
"Dangerous Mortals","Ruddy","Harm's Way"
"Dangerous Mortals","Sam the Parole Officer","Dead End"
"Dangerous Mortals","Lacey Shepherd","Home"
"Dangerous Mortals","Fritz Siege","I, Robot... You, Jane"
"Dangerous Mortals","Oliver Simon","Eternity"
"Dangerous Mortals","Rutherford Sirk","Home"
"Dangerous Mortals","Dr. Sparrow",""
"Dangerous Mortals","Spencer, DeMarco's Head of Security","The House Always Wins"
"Dangerous Mortals","Sunnydale cops","Empty Places"
"Dangerous Mortals","Lenny the Stalker","In the Dark"
"Dangerous Mortals","The Faux T'ish Magev","Guise Will Be Guise"
"Dangerous Mortals","Tyke the Drug Dealer","A New World"
"Dangerous Mortals","Professor Maggie Walsh",""
"Dangerous Mortals","Tom Warner","Reptile Boy"
"Dangerous Mortals","Tucker Wells","The Prom"
"Dangerous Mortals","Peter Wilder and the Avilas Cult","Help"
"Dangerous Mortals","Wolfram & Hart Security Guards: Howard, Phillip, Allan, Dwight","Blind Date, Dead End, Blood Money"
"Dangerous Mortals","Wolfram & Hart Special Ops Team: Commander Burke, Agent Hauser, Carlo","Quickening, Conviction, Slouching Toward Bethlehem"
"Dangerous Mortals","Cordelia Chase (though she was technically part demon)",""
"Undead","Adam",""
"Undead","Francis Angleman","Primeval"
"Undead","Brian","Provider"
"Undead","Daryl Epps","Some Assembly Required"
"Undead","Forrest Gates","Primeval"
"Undead","The faux Ampata Gutierrez","Inca Mummy Girl"
"Undead","Josh","Fear, Itself"
"Undead","Holland Manners",""
"Undead","Lilah Morgan",""
"Undead","Jack O'Toole and his gang: Bob, Dickie and Parker","The Zeppo"
"Undead","Ovu Mobani Zombies","Dead Man's Party"
"Undead","Prof. Maggie Walsh","Primeval"
"Undead","Wolfram & Hart Zombies","Habeas Corpses"
"Undead","Wolfram & Hart Failsafe Zombie Guards","You're Welcome"
"Undead","23rd Precinct Zombie Cops","The Thin Dead Line"
"Ghosts and spirits","The First Slayer",""
"Ghosts and spirits","Hus and the Chumash Warrior Spirits","Pangs"
"Ghosts and spirits","Lowell House Poltergeist","Where the Wild Things Are"
"Ghosts and spirits","Grace Newman","I Only Have Eyes for You"
"Ghosts and spirits","Matthias Pavayne, the Reaper","Hell Bound"
"Ghosts and spirits","Pavayne's hell-sent Wolfram & Hart deceased employee apparitions","Hell Bound"
"Ghosts and spirits","Dennis Pearson","Rm w/a Vu"
"Ghosts and spirits","Maude Pearson","Rm w/a Vu"
"Ghosts and spirits","The Puma Guide","Intervention"
"Ghosts and spirits","Spirit Guides","The Zeppo"
